Age (ka),PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11,PC 12,PC 13,PC 14,PC 15,PC 16,PC 17,PC 18,PC 19,PC 20,PC 21,PC 22,PC 23,PC 24,PC 25,PC 26,PC 27,PC 28,PC 29,PC 30
0,-0.29401,-0.48968,0.27838,0.010402,0.048838,-0.15234,0.29206,0.15603,0.064205,0.061335,0.23669,0.067666,0.088296,0.15969,0.066167,0.017762,0.091897,-0.013885,-0.14819,0.081635,0.012162,-0.030371,-0.14601,0.13448,-0.13075,-0.049096,-0.0187,0.1175,-0.011128,0.064089
2,-0.4342,-0.59234,0.14852,-0.049662,-0.036112,-0.23422,0.076046,0.13565,0.037355,-0.00065656,-0.028539,-0.10006,0.15646,0.020828,-0.25382,0.2362,0.12637,-0.003959,-0.075432,0.1027,0.048641,-0.018255,0.0040619,-0.10116,0.045269,0.0653,-0.038006,0.015486,0.030949,-0.0088423
4,-0.68328,-0.59934,0.18189,-0.075996,-0.068759,-0.31151,-0.024778,-0.090487,-0.10223,-0.17395,-0.0097987,-0.18738,0.16206,0.033907,-0.044858,0.22992,0.1867,0.093128,0.022452,0.0026955,0.054675,-0.075857,-0.08389,0.097164,0.044082,-0.0064317,-0.037477,-0.061695,0.082748,-0.0090063
6,-0.72987,-0.61841,0.10291,-0.098273,0.015317,-0.2482,-0.12001,-0.19637,-0.017791,-0.10497,-0.1477,-0.26388,-0.1583,0.00014949,0.048842,-0.10834,-0.20106,0.02884,-0.029336,-0.057161,0.078949,0.091805,-0.036143,-0.033262,0.018612,-0.057583,0.01291,0.025727,-0.012524,0.024925
8,-0.88427,-0.5666,0.099881,0.11935,0.13661,-0.35962,-0.0014446,-0.07386,-0.18957,-0.054261,-0.14667,-0.16638,0.13173,0.039368,-0.024603,-0.16907,-0.15834,-0.073992,0.058829,-0.0075503,0.060819,0.016844,-0.068625,-0.009428,0.06734,-0.033902,-0.010488,-0.01875,-0.12223,-0.034144
10,-1.085,-0.4775,0.21723,-0.033787,0.048627,-0.016159,0.050106,-0.010627,-0.082447,-0.058723,-0.00075736,0.11649,0.27048,0.090589,0.15619,-0.18984,-0.14399,0.022582,0.075593,0.056081,-0.033961,-0.095895,0.024465,-0.13024,-0.0011477,-0.14392,0.032986,-0.082842,0.0094277,0.037079
12,-0.97576,-0.33777,0.27989,0.065216,0.0012814,-0.026221,0.29393,0.4086,0.041688,-0.31132,-0.091731,0.019503,-0.18797,0.10616,0.13167,-0.040617,-0.084418,-0.0073565,-0.069764,0.064616,0.0039611,0.066087,0.05689,0.031843,0.022056,0.054019,-0.020097,0.11385,0.0027526,-0.085846
14,-0.75873,-0.32647,0.32072,0.1349,-0.029189,0.021324,0.098994,0.15969,-0.34816,0.046525,0.053229,-0.10399,-0.14961,0.076,0.10845,-0.04238,0.043477,-0.048505,0.12577,-0.099869,-0.13015,-0.052367,0.015088,-0.022159,-0.19014,0.018949,-0.024121,-0.071576,0.086389,-0.0021487
16,-0.16337,-0.011505,0.18872,0.095547,0.10842,0.081613,0.54668,-0.12456,0.090165,-0.049755,0.036537,0.097136,-0.11782,-0.31898,9.8295e-05,-0.10234,0.055958,-0.040467,0.36393,0.13477,-0.06613,0.050672,-0.10095,0.058574,0.0070773,0.095184,0.037173,0.035536,0.0047232,0.01535
18,0.79739,0.82912,-0.051244,-0.0030301,-0.15281,-0.27287,0.16552,-0.14611,0.0014272,-0.11803,0.055645,-0.0293,-0.10703,0.019347,0.16711,0.10436,-0.09334,0.089988,0.054298,0.002962,-0.00034622,-0.040339,0.024448,-0.18731,-0.056342,-0.042932,-0.049449,0.085634,-0.0072204,0.027708
20,0.93463,0.69886,-0.39306,-0.13719,-0.052146,-0.46368,-0.10803,0.16077,-0.11153,-0.0088226,0.055701,0.034476,-0.24784,0.1307,0.01936,0.15252,-0.059585,-0.042202,0.041523,0.12357,0.070076,0.11939,-0.093084,-0.0035775,-0.020296,-0.13676,-0.018185,-0.025835,0.036586,-0.024061
22,1.2336,0.79195,0.32598,0.22081,0.33082,-0.24642,0.49159,0.28649,0.20064,-0.44767,-0.22439,0.076347,0.14981,0.09389,0.052722,-0.1429,-0.02292,0.074936,-0.0018575,-0.081414,-0.037529,-0.044939,0.023806,-0.00052648,0.082378,-0.033159,0.07372,-0.010269,0.050043,0.001898
